iso3,pays,CP1,CP2,CP3,CP4
STP,Sao Tome and Principe,0.06564044829761888,-2.042868733356178,-0.16536686946683546,0.11599260797963193
SRB,Serbia,-0.7451985840630845,-0.27927061198842373,-0.8335984104321513,0.2328101329207934
SLE,Sierra Leone,-1.6133782563443988,-1.1014143818593243,1.3955851000087007,1.3415725404543826
SVK,Slovak Republic,1.238803453589639,-0.46522250500417767,-0.5548569268769794,0.5984169060323133
SVN,Slovenia,1.3796467099878096,-0.4042719530645892,-1.083181902516598,0.8734398181638954
SDN,Sudan,-6.366632202578653,-1.4369108041944976,8.351607764052211,-0.004122701754509254
LKA,Sri Lanka,-1.7713865736393992,-0.027624347166687966,-0.8058652039182841,0.6169876885335935
CHE,Switzerland,2.4731311632600828,1.1945501993228063,-0.07672271578997523,2.3924195362452383
SUR,Suriname,0.24121749350483662,-2.0028726824980496,1.5587484125211188,-1.540346847483014
SWE,Sweden,1.5337488360877607,0.8558391368174613,0.02330482792110855,1.6965415217006252
SEN,Senegal,-1.8191714841492397,-0.37307537249428957,-1.0928765529001,0.7155198362598184
TJK,Tajikistan,-0.7501189569511051,-1.1872783371448643,-0.4722038994736319,-0.04402006912399615
TCD,Chad,-2.1379144277117055,-0.5128356700347876,-0.16122697679194262,-1.370257442358103
CZE,Czechia,0.9518467462706577,0.3594176447785672,-0.7618636721481988,0.3123305152317777
THA,Thailand,-1.310241061644393,1.2908662759422944,-0.9674992502335685,-0.20776150896203693
TLS,Timor-Leste,0.6650764520334956,-1.7393454540430018,0.6139271633261528,0.04282964396121541
TGO,Togo,-1.5107340501988704,-0.7360548037731381,-0.49925934334657873,0.1331693248727842
TTO,Trinidad and Tobago,1.6901255175390524,-0.39779735152349943,0.26045310295693985,-2.032015325004748
TUN,Tunisia,-0.9548856443731194,-0.03367121878416136,-0.2050680811505408,0.37242035477064667
TKM,Turkmenistan,-0.7056131443794397,-0.6951251117951931,-0.88235854339814,0.9185710665856002
TUR,Turkiye,-2.0108877651028907,1.828344138201938,0.007922862387074736,0.03375312987568537
UKR,Ukraine,-1.821474522588973,0.8433095052014428,0.7695966422500925,-0.6604924475226472
URY,Uruguay,-0.09740674633627736,-0.4226299051288722,-0.900178684768532,0.17177496484813964
VUT,Vanuatu,0.49318212838383063,-2.1302948511894577,-0.19545094204784805,0.34474647007473347
VEN,"Venezuela, RB",-1.1713388329810235,0.48651703781638256,1.924989038951613,-2.137108157276219
VNM,Viet Nam,-1.5313629877265837,1.1085514724549341,-0.5159818275921418,-0.21663114724379112
YEM,"Yemen, Rep.",-2.259051735323472,-0.24459463722534097,1.5753709364835857,-1.0497164001071526
ZMB,Zambia,-1.4874939133525964,-0.538123829944288,0.08494183674596385,0.6458691735356141
ZWE,Zimbabwe,-1.0781933909683903,-0.20969219551705445,-0.9026307523147137,0.5322868728147495
EGY,"Egypt, Arab Rep.",-3.190637689751156,0.7779292715543844,2.0366725696095314,-0.5441234463744727
ARE,United Arab Emirates,3.365735344562749,0.7908424732208339,2.6904388828158643,-0.3200374729472381
ECU,Ecuador,-0.44354749014817524,0.4373257869458438,-1.6351729015776582,-0.5890581228457379
USA,United States,2.1432955021467612,8.365411032985248,-0.3141100437589989,-2.0806626016189296
ETH,Ethiopia,-3.5593660748177376,0.05149386392422395,-1.8277267905005148,-3.400769695155579
SLB,Solomon Islands,0.337542971724168,-1.991410800509458,-0.28496031268769934,-0.27795565790868876
